Time Stamp,Time Zone,Name,PTID,10 Min Spinning Reserve ($/MWHr),10 Min Non-Synchronous Reserve ($/MWHr),30 Min Operating Reserve ($/MWHr),NYCA Regulation Capacity ($/MWHr)
04/13/2024 00:00,EDT,CAPITL,61757,5.00,5.00,2.99,5.00
04/13/2024 00:00,EDT,CENTRL,61754,2.99,2.99,2.99,5.00
04/13/2024 00:00,EDT,DUNWOD,61760,5.00,5.00,2.99,5.00
04/13/2024 00:00,EDT,GENESE,61753,2.99,2.99,2.99,5.00
04/13/2024 00:00,EDT,HUD VL,61758,5.00,5.00,2.99,5.00
04/13/2024 00:00,EDT,LONGIL,61762,5.00,5.00,2.99,5.00
04/13/2024 00:00,EDT,MHK VL,61756,2.99,2.99,2.99,5.00
04/13/2024 00:00,EDT,MILLWD,61759,5.00,5.00,2.99,5.00
04/13/2024 00:00,EDT,N.Y.C.,61761,5.00,5.00,2.99,5.00
04/13/2024 00:00,EDT,NORTH,61755,2.99,2.99,2.99,5.00
04/13/2024 00:00,EDT,WEST,61752,2.99,2.99,2.99,5.00
04/13/2024 01:00,EDT,CAPITL,61757,4.49,4.49,2.48,3.00
04/13/2024 01:00,EDT,CENTRL,61754,2.48,2.48,2.48,3.00
04/13/2024 01:00,EDT,DUNWOD,61760,4.49,4.49,2.48,3.00
04/13/2024 01:00,EDT,GENESE,61753,2.48,2.48,2.48,3.00
04/13/2024 01:00,EDT,HUD VL,61758,4.49,4.49,2.48,3.00
04/13/2024 01:00,EDT,LONGIL,61762,4.49,4.49,2.48,3.00
04/13/2024 01:00,EDT,MHK VL,61756,2.48,2.48,2.48,3.00
04/13/2024 01:00,EDT,MILLWD,61759,4.49,4.49,2.48,3.00
04/13/2024 01:00,EDT,N.Y.C.,61761,5.00,5.00,2.99,3.00
04/13/2024 01:00,EDT,NORTH,61755,2.48,2.48,2.48,3.00
04/13/2024 01:00,EDT,WEST,61752,2.48,2.48,2.48,3.00
04/13/2024 02:00,EDT,CAPITL,61757,4.15,4.15,2.48,3.00
04/13/2024 02:00,EDT,CENTRL,61754,2.48,2.48,2.48,3.00
04/13/2024 02:00,EDT,DUNWOD,61760,4.15,4.15,2.48,3.00
04/13/2024 02:00,EDT,GENESE,61753,2.48,2.48,2.48,3.00
04/13/2024 02:00,EDT,HUD VL,61758,4.15,4.15,2.48,3.00
04/13/2024 02:00,EDT,LONGIL,61762,4.15,4.15,2.48,3.00
04/13/2024 02:00,EDT,MHK VL,61756,2.48,2.48,2.48,3.00
04/13/2024 02:00,EDT,MILLWD,61759,4.15,4.15,2.48,3.00
04/13/2024 02:00,EDT,N.Y.C.,61761,4.66,4.66,2.99,3.00
04/13/2024 02:00,EDT,NORTH,61755,2.48,2.48,2.48,3.00
04/13/2024 02:00,EDT,WEST,61752,2.48,2.48,2.48,3.00
04/13/2024 03:00,EDT,CAPITL,61757,3.57,3.57,2.48,3.00
04/13/2024 03:00,EDT,CENTRL,61754,2.48,2.48,2.48,3.00
04/13/2024 03:00,EDT,DUNWOD,61760,3.57,3.57,2.48,3.00
04/13/2024 03:00,EDT,GENESE,61753,2.48,2.48,2.48,3.00
04/13/2024 03:00,EDT,HUD VL,61758,3.57,3.57,2.48,3.00
04/13/2024 03:00,EDT,LONGIL,61762,3.57,3.57,2.48,3.00
04/13/2024 03:00,EDT,MHK VL,61756,2.48,2.48,2.48,3.00
04/13/2024 03:00,EDT,MILLWD,61759,3.57,3.57,2.48,3.00
04/13/2024 03:00,EDT,N.Y.C.,61761,4.08,4.08,2.99,3.00
04/13/2024 03:00,EDT,NORTH,61755,2.48,2.48,2.48,3.00
04/13/2024 03:00,EDT,WEST,61752,2.48,2.48,2.48,3.00
04/13/2024 04:00,EDT,CAPITL,61757,4.78,4.78,2.50,4.86
04/13/2024 04:00,EDT,CENTRL,61754,2.50,2.50,2.50,4.86
04/13/2024 04:00,EDT,DUNWOD,61760,4.78,4.78,2.50,4.86
04/13/2024 04:00,EDT,GENESE,61753,2.50,2.50,2.50,4.86
04/13/2024 04:00,EDT,HUD VL,61758,4.78,4.78,2.50,4.86
04/13/2024 04:00,EDT,LONGIL,61762,4.78,4.78,2.50,4.86
04/13/2024 04:00,EDT,MHK VL,61756,2.50,2.50,2.50,4.86
04/13/2024 04:00,EDT,MILLWD,61759,4.78,4.78,2.50,4.86
04/13/2024 04:00,EDT,N.Y.C.,61761,4.78,4.78,2.50,4.86
04/13/2024 04:00,EDT,NORTH,61755,2.50,2.50,2.50,4.86
04/13/2024 04:00,EDT,WEST,61752,2.50,2.50,2.50,4.86
04/13/2024 05:00,EDT,CAPITL,61757,5.00,5.00,2.50,4.12
04/13/2024 05:00,EDT,CENTRL,61754,2.50,2.50,2.50,4.12
04/13/2024 05:00,EDT,DUNWOD,61760,5.00,5.00,2.50,4.12
04/13/2024 05:00,EDT,GENESE,61753,2.50,2.50,2.50,4.12
04/13/2024 05:00,EDT,HUD VL,61758,5.00,5.00,2.50,4.12
04/13/2024 05:00,EDT,LONGIL,61762,5.00,5.00,2.50,4.12
04/13/2024 05:00,EDT,MHK VL,61756,2.50,2.50,2.50,4.12
04/13/2024 05:00,EDT,MILLWD,61759,5.00,5.00,2.50,4.12
04/13/2024 05:00,EDT,N.Y.C.,61761,5.00,5.00,2.50,4.12
04/13/2024 05:00,EDT,NORTH,61755,2.50,2.50,2.50,4.12
04/13/2024 05:00,EDT,WEST,61752,2.50,2.50,2.50,4.12
04/13/2024 06:00,EDT,CAPITL,61757,6.98,6.98,2.48,6.27
04/13/2024 06:00,EDT,CENTRL,61754,2.48,2.48,2.48,6.27
04/13/2024 06:00,EDT,DUNWOD,61760,7.00,7.00,2.50,6.27
04/13/2024 06:00,EDT,GENESE,61753,2.48,2.48,2.48,6.27
04/13/2024 06:00,EDT,HUD VL,61758,7.00,7.00,2.50,6.27
04/13/2024 06:00,EDT,LONGIL,61762,7.00,7.00,2.50,6.27
04/13/2024 06:00,EDT,MHK VL,61756,2.48,2.48,2.48,6.27
04/13/2024 06:00,EDT,MILLWD,61759,7.00,7.00,2.50,6.27
04/13/2024 06:00,EDT,N.Y.C.,61761,7.00,7.00,2.50,6.27
04/13/2024 06:00,EDT,NORTH,61755,2.48,2.48,2.48,6.27
04/13/2024 06:00,EDT,WEST,61752,2.48,2.48,2.48,6.27
04/13/2024 07:00,EDT,CAPITL,61757,5.13,4.41,4.13,7.35
04/13/2024 07:00,EDT,CENTRL,61754,4.13,4.13,4.13,7.35
04/13/2024 07:00,EDT,DUNWOD,61760,5.15,4.43,4.15,7.35
04/13/2024 07:00,EDT,GENESE,61753,4.13,4.13,4.13,7.35
04/13/2024 07:00,EDT,HUD VL,61758,5.15,4.43,4.15,7.35
04/13/2024 07:00,EDT,LONGIL,61762,5.15,4.43,4.15,7.35
04/13/2024 07:00,EDT,MHK VL,61756,4.13,4.13,4.13,7.35
04/13/2024 07:00,EDT,MILLWD,61759,5.15,4.43,4.15,7.35
04/13/2024 07:00,EDT,N.Y.C.,61761,5.15,4.43,4.15,7.35
04/13/2024 07:00,EDT,NORTH,61755,4.13,4.13,4.13,7.35
04/13/2024 07:00,EDT,WEST,61752,4.13,4.13,4.13,7.35
04/13/2024 08:00,EDT,CAPITL,61757,7.21,4.41,4.15,9.59
04/13/2024 08:00,EDT,CENTRL,61754,4.15,4.15,4.15,9.59
04/13/2024 08:00,EDT,DUNWOD,61760,7.21,4.41,4.15,9.59
04/13/2024 08:00,EDT,GENESE,61753,4.15,4.15,4.15,9.59
04/13/2024 08:00,EDT,HUD VL,61758,7.21,4.41,4.15,9.59
04/13/2024 08:00,EDT,LONGIL,61762,7.21,4.41,4.15,9.59
04/13/2024 08:00,EDT,MHK VL,61756,4.15,4.15,4.15,9.59
04/13/2024 08:00,EDT,MILLWD,61759,7.21,4.41,4.15,9.59
